,Advertiser,Brand,Model,Version,Fuel,Year,Kilometers,Displacement_cm3,Power_hp,Segment,Color,Gear_Type,Number_of_Doors,Stand_Warranty_months,Condition,Photo,Price_EUR,Link,Compared_Price,Address,Urban_Consumption_l_by_100km
0,Professional,Peugeot,3008,1.5 BlueHDi Allure EAT8,Diesel,2018,128144,1499,130,SUV / Off-road,White,Automatic,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJzb2Fta3ZyeXZxZC1TVERWVExQVCIsInciOlt7ImZuIjoiNm1nandscDdrZ2RiMi1TVERWVExQVCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.2Qez1HMKJDvD7iKLuw_gCXUGh-cLeVBsr1wOI-lDHQA/image;s=0x269;f=webp,26500,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-allure-eat8-ID8Pm68I.html,The price is within the average.,"Avenida General Humberto Delgado 39D - 2745-282 Queluz e Belas, concelho Sintra (Portugal)",
1,Professional,Land Rover,Discovery Sport,2.0 TD4 HSE Auto,Diesel,2016,135000,1999,150,SUV / Off-road,Red,Automatic,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJjdGhjcDd4YzhxazMtU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.KSeSAtRKEDhaE9RrI-J-A5y-MjZXnejreGjacnv07Bo/image;s=0x269;f=webp,33990,https://www.standvirtual.com/carros/anuncio/land-rover-discovery-sport-2-0-td4-hse-auto-ID8Pjiqn.html,The price is above average.,"Av da Liberdade junqueira - 4560 Penafiel, concelho Penafiel (Portugal)",6.3
2,Professional,Toyota,Yaris,1.0 VVT-i Comfort Plus,Gasoline,2021,49249,998,72,Utility,White,Manual,5,60,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNidXQyMjJocG5jbzEtU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.ncF8DDdxKlqvcpT7GI3FTwKJ4zwHZWJeyAeoYa9RK00/image;s=0x269;f=webp,18250,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8Pw6Fx.html,The price is within the average.,"Estrada Terras de Lagoa nº 66 - Rio de Mouro - 2635-595 Rio de Mouro, Sintra (Portugal)",
3,Professional,MINI,Cooper,D,Diesel,2007,186000,1560,110,Utility,Black,Manual,3,18,Used,Não disponível,9900,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8Pv6Pq.html,The price is above average.,"Rua Central de Campo,2140 - 4440-038 Campo e Sobrado, concelho Valongo (Portugal)",4.7
4,Professional,Kia,ProCeed,1.0 T-GDi GT Line,Gasoline,2019,50500,998,120,Station Wagon,Gray,Manual,5,24,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im5zdjU2a2F5MXZicC1TVERWVExQVCIsInciOlt7ImZuIjoiNm1nandscDdrZ2RiMi1TVERWVExQVCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.jc5TURc2bNxOq369f0vj6iaqLCS4qyql8-NZtArejok/image;s=0x269;f=webp,23950,https://www.standvirtual.com/carros/anuncio/kia-proceed-1-0-t-gdi-gt-line-ID8PrFhc.html,The price is above average.,"Rua das Indústrias 2653 - 4785-627 Bougado (São Martinho e Santiago), concelho Trofa (Portugal)",
5,Professional,MINI,One,D,Diesel,2019,63871,1496,95,City Car,White,Manual,3,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhodXpkM3FoMGM5cDItU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.6G4h-yb34wbt3hQNNqKvvi2rglLnwx036QYy1XPp6n4/image;s=0x269;f=webp,23900,https://www.standvirtual.com/carros/anuncio/mini-one-d-ID8Pym0a.html,The price is above average.,"Rua dos 4 caminhos, 18 - 2910-382 Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça), Setúbal (Portugal)",
6,Professional,BMW,320,d Touring,Diesel,2006,242170,1995,150,Station Wagon,Black,Manual,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjluMzIyamRmdTE0ZTEtU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.Hjg_MuASz1WXhcELnr4QKVfLc9nDUrxBBpsTGfS_HnA/image;s=0x269;f=webp,8900,https://www.standvirtual.com/carros/anuncio/bmw-320-d-touring-ID8Py5Nj.html,The price is within the average.,"Quinta das Rebelas lote 15 - 2830-222 Barreiro e Lavradio, Barreiro (Portugal)",7.8
7,Professional,Mercedes-Benz,C 300,d AMG Line,Diesel,2018,55000,1950,245,Sedan,White,Automatic,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZqcTFhcHd6bG81My1TVERWVExQVCIsInciOlt7ImZuIjoiNm1nandscDdrZ2RiMi1TVERWVExQVCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.9Isk1AvGOru2Ow0GLxxZKR4PxDYqWnJqefAmHZFolvI/image;s=0x269;f=webp,48900,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-300-d-amg-line-ID8PmoyB.html,The price is within the average.,"Rua José Joaquim Veiga, Lote 190 - Paradela - 2660-289 Santo António dos Cavaleiros e Frielas, concelho Loures (Portugal)",
8,Professional,Mercedes-Benz,C 200,d Exclusive,Diesel,2017,191037,1598,136,Station Wagon,Black,Manual,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjduNTdpdHlhZmpkNTEtU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.yAG02YnrWNh6lu3SvGhI1D_qsfyf9EcNzTB3L7uX8Pg/image;s=0x269;f=webp,21500,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-d-exclusive-ID8PollS.html,The price is within the average.,"Avenida General Humberto Delgado 39D - 2745-282 Queluz e Belas, concelho Sintra (Portugal)",
9,Professional,Renault,Captur,1.5 dCi Exclusive,Diesel,2018,96000,1461,110,Utility,Gray,Manual,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1lOTc5MTd0bTJjejItU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.fn1MW6JMsn2E-9oP1bKkbzCFn4PF2dwnc92ot3VhdeI/image;s=0x269;f=webp,15980,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8PxyzT.html,The price is within the average.,"Estrada Nacional 125, Poço das canas 571A - 8200-430 Guia, concelho Albufeira (Portugal)",
10,Professional,Peugeot,2008,,Diesel,2019,147000,1499,120,SUV / Off-road,Black,Automatic,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1zN2w3c3F0anNzYzEtU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.CZ9ezpgTbUilG01X37vYREtK5o9YOhG4x4AyzSeSxQc/image;s=0x269;f=webp,18500,https://www.standvirtual.com/carros/anuncio/peugeot-2008-ID8PvPTI.html,The price is within the average.,"Estrada Naciona 114 Junto as Bombas Intermarche - 2530 Atouguia da Baleia, concelho Peniche (Portugal)",
11,Professional,SEAT,Leon ST,,Gasoline,2017,130000,1000,115,Station Wagon,White,Manual,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQ0bjc0NXk3bGtzaTMtU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.5xNJXrHpsLDSLpsTRFysjoY5h1QMb4hzaHOTdM5VUtM/image;s=0x269;f=webp,15500,https://www.standvirtual.com/carros/anuncio/seat-leon-st-ID8PoItW.html,The price is within the average.,"Avenida 23 Julho de 1833, 145 - 2840-263 Seixal, Arrentela e Aldeia de Paio Pires, concelho Seixal (Portugal)",
12,Professional,BMW,i3,94Ah,Electric,2018,72665,,170,City Car,White,Automatic,5,18,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InkwaGx5dHVtbjh4dy1TVERWVExQVCIsInciOlt7ImZuIjoiNm1nandscDdrZ2RiMi1TVERWVExQVCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.2c6MhkY1DzV_nCEWlNg2gN9MUfSmhFcwMfgZcJeF_T4/image;s=0x269;f=webp,24490,https://www.standvirtual.com/carros/anuncio/bmw-i3-94ah-ID8Px0Tu.html,The price is within the average.,"Estrada de Paço de Arcos 52 - 2770-130 Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras (Portugal)",
13,Private,Peugeot,3008,1.2 PureTech GT Line EAT8,Gasoline,2020,79000,1199,130,SUV / Off-road,Gray,Automatic,5,,Used,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFlcDhzcGQ4NDRqZzItU1REVlRMUFQiLCJ3IjpbeyJmbiI6IjZtZ2p3bHA3a2dkYjItU1REVlRMUFQiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.4PQ4FMAZYewoo6BnIaWq6qVl8O_SZKgfPCfsqxmDgqE/image;s=0x269;f=webp,25990,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-2-puretech-gt-line-eat8-ID8PyjRI.html,The price is within the average.,Não disponível,6.1
14,Professional,Audi,A4 Avant,2.0 TDI Advance,Diesel,2017,129187,1968,150,Station Wagon,Gray,Manual,5,18,Used,Não disponível,21990,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-2-0-tdi-advance-ID8PveFx.html,The price is below average.,"Edifício J.M.Póvoa, km 33 - 2580-347 Alenquer (Santo Estêvão e Triana), Alenquer (Portugal)",
